pos_x,pos_y,disp_x,disp_y,disp_xy_indi
0.0,0.0,0.4403352737426758,0.9806125164031982,1.0749400265264337
0.0,10.0,0.4504709243774414,1.007014274597168,1.1031780468047427
0.0,20.0,0.4617786407470703,1.003570556640625,1.1047141599555
0.0,30.0,0.5084090232849121,0.9098281860351562,1.0422413650693112
0.0,40.0,0.18100452423095703,0.9313545227050781,0.9487802088762597
0.0,50.0,0.3411417007446289,0.9103126525878906,0.9721351683014763
0.0,60.0,0.4047536849975586,0.9320068359375,1.0161015144921952
0.0,70.0,0.5041561126708984,0.8135528564453125,0.9571006405669985
0.0,80.0,0.5673110485076904,0.6606216430664062,0.8707828552783141
0.0,90.0,0.566042423248291,0.7706222534179688,0.9561708437197746
0.0,100.0,0.5996596813201904,0.6786422729492188,0.9056197149105767
0.0,110.0,0.4997107982635498,0.9547958374023438,1.0776576325633467
0.0,120.0,0.5278580188751221,0.8934326171875,1.037716690405081
0.0,130.0,0.5141792297363281,0.849456787109375,0.992953731781308
0.0,140.0,0.5531594753265381,0.934722900390625,1.0861364120856059
0.0,150.0,0.5791230201721191,0.8718719482421875,1.04668245739809
0.0,160.0,0.5420646667480469,0.96759033203125,1.1090830237529632
0.0,170.0,0.5567972660064697,1.0164794921875,1.1589882456134044
0.0,180.0,0.5848309993743896,1.01025390625,1.1673218291981997
0.0,190.0,0.6931066513061523,0.3812103271484375,0.7910234785450094
0.0,200.0,0.6990501880645752,0.3174285888671875,0.7677447977442321
0.0,210.0,0.709942102432251,0.2347564697265625,0.7477488808981283
0.0,220.0,0.7154190540313721,0.22454833984375,0.7498309008021259
0.0,230.0,0.7091152667999268,0.2181854248046875,0.7419227326386039
0.0,240.0,0.6697649955749512,0.332061767578125,0.7475628179521926
0.0,250.0,0.6286797523498535,0.509857177734375,0.809439665881241
0.0,260.0,0.6381502151489258,0.416046142578125,0.7617939943638029
0.0,270.0,0.6494314670562744,0.33477783203125,0.7306417913193911
0.0,280.0,0.6566689014434814,0.33953857421875,0.7392567142106254
0.0,290.0,0.6577911376953125,0.3426513671875,0.7416866860514327
0.0,300.0,0.6778018474578857,0.3568115234375,0.765982902991387
0.0,310.0,0.6955356597900391,0.321685791015625,0.7663234318360057
0.0,320.0,0.6651978492736816,0.30322265625,0.7310486700224803
0.0,330.0,0.6293206214904785,0.479339599609375,0.7910821047064824
0.0,340.0,0.5855522155761719,0.58306884765625,0.826341744239846
0.0,350.0,0.5027627944946289,0.82073974609375,0.9624885237477284
0.0,360.0,0.5007104873657227,0.688812255859375,0.8515710868624536
